No.,storeNumber,countryCode,ownershipTypeCode,schedule,slug,latitude,longitude,streetAddressLine1,streetAddressLine2,streetAddressLine3,city,countrySubdivisionCode,postalCode,currentTimeOffset,windowsTimeZoneId,olsonTimeZoneId,GMT,GMT_city,Mon,Tue,Wed,Thu,Fri,Sat,Sun
11250,59447-293145,US,LS,"[{'dayName': 'Today', 'hours': '6:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '6:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '6:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '6:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '6:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '6:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '6:00 AM to 8:00 PM', 'open': True, 'holiday': ''}]",king-soopers-denver-5-1355-krameria-st-denver-co-80220-us,39.737529,-104.917455,1355 Krameria St,Null,Null,Denver,CO,80220,-360,Mountain Standard Time,GMT-07:00 America/Denver,GMT-07:00,America/Denver,6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,6:00 AM to 8:00 PM
11251,74705-96758,US,LS,"[{'dayName': 'Today', 'hours': '6:00 AM to 7:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '6:00 AM to 7:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '6:00 AM to 7:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '6:00 AM to 7:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '6:00 AM to 7:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '6:00 AM to 7:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '6:00 AM to 7:00 PM', 'open': True, 'holiday': ''}]",safeway-denver-2714-6220-e-14th-st-denver-co-802202747-us,39.737532,-104.915592,6220 E 14th St,Null,Null,Denver,CO,802202747,-360,Mountain Standard Time,GMT-07:00 America/Denver,GMT-07:00,America/Denver,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM
11252,270-138,US,CO,"[{'dayName': 'Today', 'hours': '5:30 AM to 6:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '5:30 AM to 6:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '5:30 AM to 6:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '5:30 AM to 6:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '5:30 AM to 6:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '5:30 AM to 6:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '5:30 AM to 6:00 PM', 'open': True, 'holiday': ''}]",8th-colorado-801-colorado-blvd-denver-co-802064037-us,39.729279,-104.94098,801 Colorado Blvd.,Null,Null,Denver,CO,802064037,-360,Mountain Standard Time,GMT-07:00 America/Denver,GMT-07:00,America/Denver,5:30 AM to 6:00 PM,5:30 AM to 6:00 PM,5:30 AM to 6:00 PM,5:30 AM to 6:00 PM,5:30 AM to 6:00 PM,5:30 AM to 6:00 PM,5:30 AM to 6:00 PM
11253,237-230005,US,CO,"[{'dayName': 'Today', 'hours': '5:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '5:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '5:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '5:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '5:30 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '5:30 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '5:00 AM to 8:00 PM', 'open': True, 'holiday': ''}]",3rd-and-columbine-cherry-creek-250-columbine-denver-co-802064728-us,39.720859,-104.956887,250 Columbine,160,Null,Denver,CO,802064728,-360,Mountain Standard Time,GMT-07:00 America/Denver,GMT-07:00,America/Denver,5:00 AM to 8:00 PM,5:00 AM to 8:00 PM,5:00 AM to 8:00 PM,5:00 AM to 8:00 PM,5:00 AM to 8:00 PM,5:30 AM to 8:00 PM,5:30 AM to 8:00 PM
11254,1541-116885,US,LS,"[{'dayName': 'Today', 'hours': '6:00 AM to 7:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '6:00 AM to 7:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '6:00 AM to 7:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '6:00 AM to 7:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '6:00 AM to 7:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '6:00 AM to 7:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '6:00 AM to 7:00 PM', 'open': True, 'holiday': ''}]",harris-teeter-indian-land-372-6271-carolina-commons-dr-fort-mill-sc-297075980-us,34.936839,-80.838035,6271 Carolina Commons Dr,Null,Null,Fort Mill,SC,297075980,-240,Eastern Standard Time,GMT-05:00 America/New_York,GMT-05:00,America/New_York,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM
11255,50741-276111,US,CO,"[{'dayName': 'Today', 'hours': '5:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '5:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '5:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '5:00 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '5:30 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '6:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '5:00 AM to 9:00 PM', 'open': True, 'holiday': ''}]",highway-521-and-jim-wilson-7716-charlotte-highway-indian-land-sc-29707-us,34.93814,-80.836537,7716 Charlotte Highway,100,Null,Indian Land,SC,29707,-240,Eastern Standard Time,GMT-05:00 America/New_York,GMT-05:00,America/New_York,5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,5:00 AM to 9:30 PM,5:30 AM to 9:30 PM,6:00 AM to 9:00 PM
11256,18564-98074,US,LS,"[{'dayName': 'Today', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}]",harris-teeter-waxhaw-182-8157-kesington-drive-waxhaw-nc-28173-us,34.95403,-80.759271,8157 Kesington Drive,Null,Null,Waxhaw,NC,28173,-240,Eastern Standard Time,GMT-05:00 America/New_York,GMT-05:00,America/New_York,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM
11257,22077-213924,US,CO,"[{'dayName': 'Today', 'hours': '5:30 AM to 8:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '5:30 AM to 8:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '5:30 AM to 8:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '5:30 AM to 8:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '6:00 AM to 8:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '6:00 AM to 8:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '5:30 AM to 8:30 PM', 'open': True, 'holiday': ''}]",tom-short-rd-rea-rd-9700-rea-rd-waxhaw-nc-28173-us,35.016289,-80.801677,9700 Rea Rd,Ste A,Null,Waxhaw,NC,28173,-240,Eastern Standard Time,GMT-05:00 America/New_York,GMT-05:00,America/New_York,5:30 AM to 8:30 PM,5:30 AM to 8:30 PM,5:30 AM to 8:30 PM,5:30 AM to 8:30 PM,5:30 AM to 8:30 PM,6:00 AM to 8:30 PM,6:00 AM to 8:30 PM
11258,73918-103375,US,LS,"[{'dayName': 'Today', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}]",harris-teeter-charlotte-317-16625-lancaster-hwy-charlotte-nc-282772038-us,35.02301,-80.848201,16625 Lancaster Hwy,Null,Null,Charlotte,NC,282772038,-240,Eastern Standard Time,GMT-05:00 America/New_York,GMT-05:00,America/New_York,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM
11259,10241-99049,US,CO,"[{'dayName': 'Today', 'hours': '6:00 AM to 8:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '6:00 AM to 8:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '6:00 AM to 8:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '6:00 AM to 8:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '6:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '6:30 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '6:00 AM to 8:30 PM', 'open': True, 'holiday': ''}]",blakeney-9820-a-rea-road-blakeney-charlotte-nc-282776681-us,35.034833,-80.8057,9820-A Rea Road,Null,Blakeney,Charlotte,NC,282776681,-240,Eastern Standard Time,GMT-05:00 America/New_York,GMT-05:00,America/New_York,6:00 AM to 8:30 PM,6:00 AM to 8:30 PM,6:00 AM to 8:30 PM,6:00 AM to 8:30 PM,6:00 AM to 8:30 PM,6:30 AM to 9:00 PM,6:30 AM to 8:00 PM
11260,79359-101268,US,LS,"[{'dayName': 'Today', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}]",harris-teeter-matthews-343-13639-providence-rd-weddington-nc-281049373-us,35.022479,-80.761232,13639 Providence Rd,Null,Null,Weddington,NC,281049373,-240,Eastern Standard Time,GMT-05:00 America/New_York,GMT-05:00,America/New_York,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM
11261,19910-202325,US,LS,"[{'dayName': 'Today', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}]",target-rock-hill-t-1371-1900-springsteen-rd-rock-hill-sc-29730-us,34.939106,-80.98005,1900 Springsteen Rd,Null,Null,Rock Hill,SC,29730,-240,Eastern Standard Time,GMT-05:00 America/New_York,GMT-05:00,America/New_York,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM
